"","Region","År","Utbildning","Kön","Region_kod","Utbildningskod","Förvärvsgrad","Matchad_förvärvsgrad","Skillnad_förvärsgrad","Antal_personer","Könsskillnad_mf","Andel_män","Andel nya förvärvsarbetande","Andel jobbytare","Andel totalt jobbinflöde"
"40","Blekinge","2008","Bygg","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Blekinge","2008","Bygg","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8
"42","Blekinge","2008","Bygg","totalt",NA,NA,NA,NA,NA,NA,NA,NA,3.5,14.5,17.9
"43","Blekinge","2008","Data-, el- och energiteknik","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,10.6,4.5,15.2
"44","Blekinge","2008","Data-, el- och energiteknik","män",NA,NA,NA,NA,NA,NA,NA,NA,3.1,10.7,13.7
"45","Blekinge","2008","Data-, el- och energiteknik","totalt",NA,NA,NA,NA,NA,NA,NA,NA,3.3,10.5,13.8
"46","Blekinge","2008","Fordon","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Blekinge","2008","Fordon","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6
"48","Blekinge","2008","Fordon","totalt",NA,NA,NA,NA,NA,NA,NA,NA,2.6,10.4,13
"49","Blekinge","2008","Gymnasieingenjör","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,2.2,6.6,8.8
"50","Blekinge","2008","Gymnasieingenjör","män",NA,NA,NA,NA,NA,NA,NA,NA,1.5,7.2,8.6
"51","Blekinge","2008","Gymnasieingenjör","totalt",NA,NA,NA,NA,NA,NA,NA,NA,1.5,7.1,8.7
"52","Blekinge","2008","Handel- och administration","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,3,7.1,10.1
"53","Blekinge","2008","Handel- och administration","män",NA,NA,NA,NA,NA,NA,NA,NA,4.4,10.1,14.5
"54","Blekinge","2008","Handel- och administration","totalt",NA,NA,NA,NA,NA,NA,NA,NA,3.4,7.9,11.2
"55","Blekinge","2008","Industri","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,3.6,6.1,9.6
"56","Blekinge","2008","Industri","män",NA,NA,NA,NA,NA,NA,NA,NA,2.2,7.4,9.6
"57","Blekinge","2008","Industri","totalt",NA,NA,NA,NA,NA,NA,NA,NA,2.4,7.2,9.6
"58","Blekinge","2008","Naturbruk","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,9,11.4,20.3
"59","Blekinge","2008","Naturbruk","män",NA,NA,NA,NA,NA,NA,NA,NA,2.5,11.7,14.1
"60","Blekinge","2008","Naturbruk","totalt",NA,NA,NA,NA,NA,NA,NA,NA,4,11.6,15.6
"61","Blekinge","2008","Restaurang- och livsmedel","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,6.2,16,22.2
"62","Blekinge","2008","Restaurang- och livsmedel","män",NA,NA,NA,NA,NA,NA,NA,NA,8,20,27.9
"63","Blekinge","2008","Restaurang- och livsmedel","totalt",NA,NA,NA,NA,NA,NA,NA,NA,6.9,17.6,24.5
"64","Blekinge","2008","Transport","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Blekinge","2008","Transport","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2
"66","Blekinge","2008","Transport","totalt",NA,NA,NA,NA,NA,NA,NA,NA,1.7,16.5,18.2
"67","Blekinge","2008","VVS- och fastighet","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Blekinge","2008","VVS- och fastighet","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Blekinge","2008","VVS- och fastighet","totalt",NA,NA,NA,NA,NA,NA,NA,NA,4,9.2,13.2
"70","Blekinge","2008","Vård & omsorg","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,2.6,3.9,6.5
"71","Blekinge","2008","Vård & omsorg","män",NA,NA,NA,NA,NA,NA,NA,NA,3.1,5.2,8.3
"72","Blekinge","2008","Vård & omsorg","totalt",NA,NA,NA,NA,NA,NA,NA,NA,2.6,4,6.6
"73","Blekinge","2009","Barn- och fritid","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,4.4,7.7,12.1
"74","Blekinge","2009","Barn- och fritid","män",NA,NA,NA,NA,NA,NA,NA,NA,4,14.6,18.6
"75","Blekinge","2009","Barn- och fritid","totalt",NA,NA,NA,NA,NA,NA,NA,NA,4.4,8.6,13
"76","Blekinge","2009","Bygg","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Blekinge","2009","Bygg","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8
"78","Blekinge","2009","Bygg","totalt",NA,NA,NA,NA,NA,NA,NA,NA,2.3,14.6,16.9
"79","Blekinge","2009","Data-, el- och energiteknik","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,6.3,6.3,12.7
"80","Blekinge","2009","Data-, el- och energiteknik","män",NA,NA,NA,NA,NA,NA,NA,NA,2.5,7.9,10.5
"81","Blekinge","2009","Data-, el- och energiteknik","totalt",NA,NA,NA,NA,NA,NA,NA,NA,2.6,7.9,10.5
"82","Blekinge","2009","Fordon","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Blekinge","2009","Fordon","män",NA,NA,NA,NA,NA,NA,NA,NA,2.8,10.1,12.9
"84","Blekinge","2009","Fordon","totalt",NA,NA,NA,NA,NA,NA,NA,NA,2.8,10.2,13
"85","Blekinge","2009","Gymnasieingenjör","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1
"86","Blekinge","2009","Gymnasieingenjör","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9
"87","Blekinge","2009","Gymnasieingenjör","totalt",NA,NA,NA,NA,NA,NA,NA,NA,1.1,6.7,7.8
"88","Blekinge","2009","Handel- och administration","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,3.1,6.4,9.5
"89","Blekinge","2009","Handel- och administration","män",NA,NA,NA,NA,NA,NA,NA,NA,2.5,8.6,11.1
"90","Blekinge","2009","Handel- och administration","totalt",NA,NA,NA,NA,NA,NA,NA,NA,2.9,7,9.9
"91","Blekinge","2009","Industri","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,2.8,8.1,10.9
"92","Blekinge","2009","Industri","män",NA,NA,NA,NA,NA,NA,NA,NA,1.3,8,9.3
"93","Blekinge","2009","Industri","totalt",NA,NA,NA,NA,NA,NA,NA,NA,1.5,8,9.5
"94","Blekinge","2009","Naturbruk","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,6.3,14.1,20.4
"95","Blekinge","2009","Naturbruk","män",NA,NA,NA,NA,NA,NA,NA,NA,1.7,8.8,10.5
"96","Blekinge","2009","Naturbruk","totalt",NA,NA,NA,NA,NA,NA,NA,NA,2.8,10.1,12.8
"97","Blekinge","2009","Restaurang- och livsmedel","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,4.8,15.4,20.2
"98","Blekinge","2009","Restaurang- och livsmedel","män",NA,NA,NA,NA,NA,NA,NA,NA,6.5,15.2,21.7
"99","Blekinge","2009","Restaurang- och livsmedel","totalt",NA,NA,NA,NA,NA,NA,NA,NA,5.4,15.3,20.8
"100","Blekinge","2009","Transport","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Blekinge","2009","Transport","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3
"102","Blekinge","2009","Transport","totalt",NA,NA,NA,NA,NA,NA,NA,NA,3.6,12,15.6
"103","Blekinge","2009","VVS- och fastighet","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Blekinge","2009","VVS- och fastighet","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Blekinge","2009","VVS- och fastighet","totalt",NA,NA,NA,NA,NA,NA,NA,NA,1.3,9.7,11
"106","Blekinge","2009","Vård & omsorg","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,2.4,3,5.4
"107","Blekinge","2009","Vård & omsorg","män",NA,NA,NA,NA,NA,NA,NA,NA,2,3,4.9
"108","Blekinge","2009","Vård & omsorg","totalt",NA,NA,NA,NA,NA,NA,NA,NA,2.3,3,5.4
"109","Blekinge","2010","Barn- och fritid","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,7.9,7,14.9
"110","Blekinge","2010","Barn- och fritid","män",NA,NA,NA,NA,NA,NA,NA,NA,15.7,12.5,28.2
"111","Blekinge","2010","Barn- och fritid","totalt",NA,NA,NA,NA,NA,NA,NA,NA,9,7.8,16.8
"112","Blekinge","2010","Bygg","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Blekinge","2010","Bygg","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4
"114","Blekinge","2010","Bygg","totalt",NA,NA,NA,NA,NA,NA,NA,NA,6.8,11.6,18.4
"115","Blekinge","2010","Data-, el- och energiteknik","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,6.2,13.8,20
"116","Blekinge","2010","Data-, el- och energiteknik","män",NA,NA,NA,NA,NA,NA,NA,NA,6.2,8.6,14.7
"117","Blekinge","2010","Data-, el- och energiteknik","totalt",NA,NA,NA,NA,NA,NA,NA,NA,6.2,8.7,14.9
"118","Blekinge","2010","Fordon","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Blekinge","2010","Fordon","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5
"120","Blekinge","2010","Fordon","totalt",NA,NA,NA,NA,NA,NA,NA,NA,6.3,9.5,15.7
"121","Blekinge","2010","Gymnasieingenjör","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7
"122","Blekinge","2010","Gymnasieingenjör","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9
"123","Blekinge","2010","Gymnasieingenjör","totalt",NA,NA,NA,NA,NA,NA,NA,NA,1.8,7.2,9
"124","Blekinge","2010","Handel- och administration","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,5.2,6,11.2
"125","Blekinge","2010","Handel- och administration","män",NA,NA,NA,NA,NA,NA,NA,NA,5.2,7.9,13
"126","Blekinge","2010","Handel- och administration","totalt",NA,NA,NA,NA,NA,NA,NA,NA,5.2,6.5,11.7
"127","Blekinge","2010","Industri","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,9.4,5,14.4
"128","Blekinge","2010","Industri","män",NA,NA,NA,NA,NA,NA,NA,NA,6.9,7.1,13.9
"129","Blekinge","2010","Industri","totalt",NA,NA,NA,NA,NA,NA,NA,NA,7.1,6.9,14
"130","Blekinge","2010","Naturbruk","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,14.8,9.8,24.6
"131","Blekinge","2010","Naturbruk","män",NA,NA,NA,NA,NA,NA,NA,NA,3.7,10.1,13.7
"132","Blekinge","2010","Naturbruk","totalt",NA,NA,NA,NA,NA,NA,NA,NA,6.5,10,16.5
"133","Blekinge","2010","Restaurang- och livsmedel","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,9.5,10.7,20.2
"134","Blekinge","2010","Restaurang- och livsmedel","män",NA,NA,NA,NA,NA,NA,NA,NA,12.4,17.5,29.9
"135","Blekinge","2010","Restaurang- och livsmedel","totalt",NA,NA,NA,NA,NA,NA,NA,NA,10.7,13.4,24.1
"136","Blekinge","2010","Transport","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Blekinge","2010","Transport","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2
"138","Blekinge","2010","Transport","totalt",NA,NA,NA,NA,NA,NA,NA,NA,6.7,13.5,20.2
"139","Blekinge","2010","VVS- och fastighet","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Blekinge","2010","VVS- och fastighet","män",NA,NA,NA,NA,NA,NA,NA,NA,6.6,10.1,16.7
"141","Blekinge","2010","VVS- och fastighet","totalt",NA,NA,NA,NA,NA,NA,NA,NA,6.5,10,16.5
"142","Blekinge","2010","Vård & omsorg","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,4.1,3.5,7.6
"143","Blekinge","2010","Vård & omsorg","män",NA,NA,NA,NA,NA,NA,NA,NA,6.2,6.9,13.1
"144","Blekinge","2010","Vård & omsorg","totalt",NA,NA,NA,NA,NA,NA,NA,NA,4.3,3.8,8
"145","Blekinge","2011","Barn- och fritid","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,5.6,9.4,15
"146","Blekinge","2011","Barn- och fritid","män",NA,NA,NA,NA,NA,NA,NA,NA,9.6,15.2,24.8
"147","Blekinge","2011","Barn- och fritid","totalt",NA,NA,NA,NA,NA,NA,NA,NA,6.2,10.2,16.5
"148","Blekinge","2011","Bygg","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Blekinge","2011","Bygg","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5
"150","Blekinge","2011","Bygg","totalt",NA,NA,NA,NA,NA,NA,NA,NA,5.1,14.4,19.6
"151","Blekinge","2011","Data-, el- och energiteknik","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,4.8,11.1,15.9
"152","Blekinge","2011","Data-, el- och energiteknik","män",NA,NA,NA,NA,NA,NA,NA,NA,5.6,11.1,16.7
"153","Blekinge","2011","Data-, el- och energiteknik","totalt",NA,NA,NA,NA,NA,NA,NA,NA,5.6,11.1,16.7
"154","Blekinge","2011","Fordon","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Blekinge","2011","Fordon","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1
"156","Blekinge","2011","Fordon","totalt",NA,NA,NA,NA,NA,NA,NA,NA,5.8,10.3,16.1
"157","Blekinge","2011","Gymnasieingenjör","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,5.1,5.1,10.2
"158","Blekinge","2011","Gymnasieingenjör","män",NA,NA,NA,NA,NA,NA,NA,NA,2,7.1,9.1
"159","Blekinge","2011","Gymnasieingenjör","totalt",NA,NA,NA,NA,NA,NA,NA,NA,2.2,7,9.2
"160","Blekinge","2011","Handel- och administration","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,4.8,6.4,11.2
"161","Blekinge","2011","Handel- och administration","män",NA,NA,NA,NA,NA,NA,NA,NA,5.6,9.7,15.3
"162","Blekinge","2011","Handel- och administration","totalt",NA,NA,NA,NA,NA,NA,NA,NA,5,7.3,12.3
"163","Blekinge","2011","Industri","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,9,7.4,16.3
"164","Blekinge","2011","Industri","män",NA,NA,NA,NA,NA,NA,NA,NA,5.3,8.6,13.9
"165","Blekinge","2011","Industri","totalt",NA,NA,NA,NA,NA,NA,NA,NA,5.7,8.5,14.1
"166","Blekinge","2011","Naturbruk","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,14.7,13.2,27.9
"167","Blekinge","2011","Naturbruk","män",NA,NA,NA,NA,NA,NA,NA,NA,4.4,8.6,12.9
"168","Blekinge","2011","Naturbruk","totalt",NA,NA,NA,NA,NA,NA,NA,NA,7.3,9.9,17.2
"169","Blekinge","2011","Restaurang- och livsmedel","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,7.5,13.7,21.2
"170","Blekinge","2011","Restaurang- och livsmedel","män",NA,NA,NA,NA,NA,NA,NA,NA,11.1,17.5,28.7
"171","Blekinge","2011","Restaurang- och livsmedel","totalt",NA,NA,NA,NA,NA,NA,NA,NA,9,15.3,24.3
"172","Blekinge","2011","Transport","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Blekinge","2011","Transport","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6
"174","Blekinge","2011","Transport","totalt",NA,NA,NA,NA,NA,NA,NA,NA,6.7,16.9,23.5
"175","Blekinge","2011","VVS- och fastighet","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Blekinge","2011","VVS- och fastighet","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Blekinge","2011","VVS- och fastighet","totalt",NA,NA,NA,NA,NA,NA,NA,NA,7.7,9.7,17.4
"178","Blekinge","2011","Vård & omsorg","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,3.4,4.2,7.6
"179","Blekinge","2011","Vård & omsorg","män",NA,NA,NA,NA,NA,NA,NA,NA,3.8,9.2,13
"180","Blekinge","2011","Vård & omsorg","totalt",NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.6,8
"181","Blekinge","2012","Barn- och fritid","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,7.1,7.5,14.6
"182","Blekinge","2012","Barn- och fritid","män",NA,NA,NA,NA,NA,NA,NA,NA,10.4,12.4,22.8
"183","Blekinge","2012","Barn- och fritid","totalt",NA,NA,NA,NA,NA,NA,NA,NA,7.6,8.3,15.9
"184","Blekinge","2012","Bygg","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Blekinge","2012","Bygg","män",NA,NA,NA,NA,NA,NA,NA,NA,3.2,12.9,16.1
"186","Blekinge","2012","Bygg","totalt",NA,NA,NA,NA,NA,NA,NA,NA,3.3,12.8,16.2
"187","Blekinge","2012","Data-, el- och energiteknik","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,4.8,11.1,15.9
"188","Blekinge","2012","Data-, el- och energiteknik","män",NA,NA,NA,NA,NA,NA,NA,NA,3.4,10.1,13.5
"189","Blekinge","2012","Data-, el- och energiteknik","totalt",NA,NA,NA,NA,NA,NA,NA,NA,3.5,10.1,13.6
"190","Blekinge","2012","Fordon","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Blekinge","2012","Fordon","män",NA,NA,NA,NA,NA,NA,NA,NA,3.6,10.5,14.1
"192","Blekinge","2012","Fordon","totalt",NA,NA,NA,NA,NA,NA,NA,NA,4,10.6,14.6
"193","Blekinge","2012","Gymnasieingenjör","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7
"194","Blekinge","2012","Gymnasieingenjör","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"195","Blekinge","2012","Gymnasieingenjör","totalt",NA,NA,NA,NA,NA,NA,NA,NA,1.3,7,8.3
"196","Blekinge","2012","Handel- och administration","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,4.6,7.3,11.9
"197","Blekinge","2012","Handel- och administration","män",NA,NA,NA,NA,NA,NA,NA,NA,3.8,8.6,12.4
"198","Blekinge","2012","Handel- och administration","totalt",NA,NA,NA,NA,NA,NA,NA,NA,4.4,7.7,12
"199","Blekinge","2012","Industri","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,5.4,6.1,11.5
"200","Blekinge","2012","Industri","män",NA,NA,NA,NA,NA,NA,NA,NA,2.5,7.5,10
"201","Blekinge","2012","Industri","totalt",NA,NA,NA,NA,NA,NA,NA,NA,2.8,7.4,10.2
"202","Blekinge","2012","Naturbruk","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,9.1,13.6,22.7
"203","Blekinge","2012","Naturbruk","män",NA,NA,NA,NA,NA,NA,NA,NA,2.4,11.8,14.2
"204","Blekinge","2012","Naturbruk","totalt",NA,NA,NA,NA,NA,NA,NA,NA,4.2,12.3,16.6
"205","Blekinge","2012","Restaurang- och livsmedel","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,7.1,11.5,18.6
"206","Blekinge","2012","Restaurang- och livsmedel","män",NA,NA,NA,NA,NA,NA,NA,NA,6.8,10.3,17.1
"207","Blekinge","2012","Restaurang- och livsmedel","totalt",NA,NA,NA,NA,NA,NA,NA,NA,7,11.1,18
"208","Blekinge","2012","Transport","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,11.8,20.6,32.4
"209","Blekinge","2012","Transport","män",NA,NA,NA,NA,NA,NA,NA,NA,4.9,13.3,18.2
"210","Blekinge","2012","Transport","totalt",NA,NA,NA,NA,NA,NA,NA,NA,5.3,13.7,19
"211","Blekinge","2012","VVS- och fastighet","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Blekinge","2012","VVS- och fastighet","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Blekinge","2012","VVS- och fastighet","totalt",NA,NA,NA,NA,NA,NA,NA,NA,4.5,8.5,13
"214","Blekinge","2012","Vård & omsorg","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,3.6,3.6,7.2
"215","Blekinge","2012","Vård & omsorg","män",NA,NA,NA,NA,NA,NA,NA,NA,4.5,6.7,11.2
"216","Blekinge","2012","Vård & omsorg","totalt",NA,NA,NA,NA,NA,NA,NA,NA,3.7,3.8,7.5
"217","Blekinge","2013","Barn- och fritid","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,7,8.5,15.6
"218","Blekinge","2013","Barn- och fritid","män",NA,NA,NA,NA,NA,NA,NA,NA,9.3,13.4,22.7
"219","Blekinge","2013","Barn- och fritid","totalt",NA,NA,NA,NA,NA,NA,NA,NA,7.4,9.3,16.7
"220","Blekinge","2013","Bygg","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,12.1,12.1,24.2
"221","Blekinge","2013","Bygg","män",NA,NA,NA,NA,NA,NA,NA,NA,5.1,12.2,17.3
"222","Blekinge","2013","Bygg","totalt",NA,NA,NA,NA,NA,NA,NA,NA,5.2,12.2,17.4
"223","Blekinge","2013","Data-, el- och energiteknik","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,6.3,15.6,21.9
"224","Blekinge","2013","Data-, el- och energiteknik","män",NA,NA,NA,NA,NA,NA,NA,NA,5.9,10.3,16.3
"225","Blekinge","2013","Data-, el- och energiteknik","totalt",NA,NA,NA,NA,NA,NA,NA,NA,6,10.5,16.4
"226","Blekinge","2013","Fordon","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9
"227","Blekinge","2013","Fordon","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8
"228","Blekinge","2013","Fordon","totalt",NA,NA,NA,NA,NA,NA,NA,NA,4.5,13.4,17.9
"229","Blekinge","2013","Gymnasieingenjör","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2
"230","Blekinge","2013","Gymnasieingenjör","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6
"231","Blekinge","2013","Gymnasieingenjör","totalt",NA,NA,NA,NA,NA,NA,NA,NA,1.4,7.1,8.5
"232","Blekinge","2013","Handel- och administration","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,4.3,7.3,11.5
